genres,id,keywords,original_language,production_companies,title,cast,index
  Action  Drama  Science Fiction  Thriller,12123,  fbi  hydrogen bomb  secret lab  energy supply  conspiracy  aftercreditsstinger,en, Twentieth Century Fox Film Corporation  Chicago Pacific Entertainment  Zanuck Company  id: 20004}],Chain Reaction,  Keanu Reeves  Morgan Freeman  Rachel Weisz  Fred Ward  Kevin Dunn,849
  Drama  Mystery  Thriller,9566,  sport  luck  san francisco giants  child custody  baseball pitcher  baseball fan  psychotic fan  sports agent  driving range  steam room,en, TriStar Pictures  Mandalay Entertainment,The Fan,  Robert De Niro  Wesley Snipes  Ellen Barkin  John Leguizamo  Benicio del Toro,850
  Thriller  Drama  Romance,9833,  dancing  obsession  auction  wheelchair  rose  product placement  musical  remake  tragic villain  black and white  rooftop  heroine  disfigured face  based on stage musical  theater  disfigurement mask  breaking mirror  opera singer  1910s,en, Odyssey Entertainment  Warner Bros.  Scion Films  Really Useful Films,The Phantom of the Opera,  Gerard Butler  Emmy Rossum  id: 17178  id: 8436  id: 6613,851
  Drama  History  Romance,4517,  england  assassination  spain  virgin  colony  governance  queen elizabeth i  religious war  tudors  execution  middle ages  catholicism  sea battle  palace intrigue,en, Universal Pictures  StudioCanal  Working Title Films,Elizabeth: The Golden Age,  Cate Blanchett  Clive Owen  Geoffrey Rush  Laurence Fox  Tom Hollander,852
  Action  Science Fiction,8202,  martial arts  dystopia  surrealism  based on cartoon  shootout  espionage  infertility  cyberpunk  extreme violence  sabotage  one against many  woman director  hand to hand combat  action heroine  human cloning  25th century,en, Paramount Pictures  Lakeshore Entertainment  MTV Films  Colossal Pictures  Valhalla Motion Pictures  MTV Productions,Æon Flux,  Charlize Theron  Marton Csokas  Jonny Lee Miller  Sophie Okonedo  Frances McDormand,853
  Drama  History  War,16072,  war  battle  union soldier  confederate soldier  american civil war  secession,en, Warner Bros. Pictures  Turner Pictures  Antietam Filmworks,Gods and Generals,  Stephen Lang  Jeff Daniels  Robert Duvall  Kevin Conway  C. Thomas Howell,854
  Action  Thriller  Crime,34314,  stewardess  airplane  shootout  air marshal  christmas  turbulence,en, Metro-Goldwyn-Mayer (MGM)  Rysher Entertainment,Turbulence,  Ray Liotta  Lauren Holly  Brendan Gleeson  H\u00e9ctor Elizondo  Rachel Ticotin,855
  Comedy,19724,,en, Paramount Pictures  Di Bonaventura Pictures  Nickelodeon Movies  Goldcrest Pictures  Internationale Filmproduktion Stella-del-Sud Third,Imagine That,  Eddie Murphy  Thomas Haden Church  Yara Shahidi  Ronny Cox  Stephen Rannazzisi,856
  Comedy  Adventure  Crime  Family,145220,  musical  the muppets,en, Buena Vista  Disney,Muppets Most Wanted,  Ricky Gervais  Ty Burrell  Tina Fey  Steve Whitmire  Eric Jacobson,857
  Action  Adventure  Comedy  Family  Fantasy  Science Fiction,14623,  secret organization  based on tv series  golden gate bridge  locker  oil rig\u00a0  teenage hero  soaked clothes  thunderbirds,en, Studio Canal  Working Title Films  Tracy Films,Thunderbirds,  Brady Corbet  Soren Fulton  Debora Weston  Lou Hirsch  Alex Barringer,858
  Drama  Romance,42297,  musical  los angeles  burlesque  burlesque dancer,en, Bedford Falls Productions,Burlesque,  Cher  Christina Aguilera  Eric Dane  Cam Gigandet  Julianne Hough,859
  Drama,2841,  paris  prostitute  loss of lover  amnesia  bodily disabled person  world war i  wheelchair  brittany  lighthouse  verdun  lighthouse keeper     teenage crush  disappearance  soldier  illegal prostitution  private detective  missing person  polio  trenches,fr, Gerber Pictures  2003 Productions  TF1 Films Production  Canal+  Warner Bros.  R\u00e9gion Ile-de-France  Tapioca Films  Centre National de la Cin\u00e9matographie (CNC)  R\u00e9gion Bretagne  R\u00e9gion Poitou-Charentes,A Very Long Engagement,  Audrey Tautou  Gaspard Ulliel  Dominique Pinon  Chantal Neuwirth  Andr\u00e9 Dussollier,860
  Drama  Romance,802,  sexual obsession  hotel  depression  loss of mother  small town  flirt  midlife crisis  eroticism  youngster  lolita  motel  diary  seduction  forbidden love  professor for literature  provocation  fascination  one-sided love  widow  adoptive father  loss of husband  summer camp  secret love,en, Seven Arts Productions  Allied Artists  Transworld Pictures,Lolita,  James Mason  Sue Lyon  Shelley Winters  Peter Sellers  Lois Maxwell,861
  Action  Thriller,10375,  alcoholism  serial killer  hospital  police officer  detox,en, Universal Pictures,D-Tox,  Sylvester Stallone  Courtney B. Vance  Tom Berenger  Charles S. Dutton  Jeffrey Wright,862
  Fantasy  Horror  Action  Thriller,36586,  katana  mutation  vampire  silver  superhero  tragic villain  broken neck  lasersight  violence  exploding body  blade  subjective camera  torso cut in half  reaper  broken wrist  razor blade  shot through a door  sword duel  burnt face,en, New Line Cinema  Amen Ra Films  Milk & Honey  Imaginary Forces  Justin Pictures  Linovo Productions GmbH & Co. KG  Pacific Title and Art Studio  Marvel Enterprises,Blade II,  Wesley Snipes  Kris Kristofferson  Ron Perlman  Leonor Varela  Norman Reedus,863
  Drama,11321,  vegetarian  tax collector  pianist  blind  organ transplant  blood type,en, Columbia Pictures  Escape Artists  Relativity Media  Overbrook Entertainment,Seven Pounds,  Will Smith  Rosario Dawson  Sarah Jane Morris  Woody Harrelson  Michael Ealy,864
  Action  Crime  Thriller,70074,,en, Dark Castle Entertainment  After Dark Films  IM Global  Automatik Entertainment  Silver Reel  EMJAG Productions  Millar Gough Ink  Headshot Films,Bullet to the Head,  Sylvester Stallone  Sung Kang  Sarah Shahi  Adewale Akinnuoye-Agbaje  Jason Momoa,865
  Crime  Drama  Thriller,242,  italy  christianity  new york  assassination  italo-american  vatican  pope  confession  helicopter  daughter  lawyer,en, Paramount Pictures,The Godfather: Part III,  Al Pacino  Diane Keaton  Andy Garc\u00eda  Talia Shire  Sofia Coppola,866
  Comedy  Drama  Romance,9621,  suicide  hotel room  suicide attempt  new love  funeral  airplane  lovers  falling in love,en, Paramount Pictures  Cruise/Wagner Productions  Vinyl Films  KMP Film Invest,Elizabethtown,  Orlando Bloom  Kirsten Dunst  Susan Sarandon  Alec Baldwin  Bruce McGill,867
  Comedy  Romance,1819,  roommate  love of one's life  newlywed,en, Universal Pictures  Kaplan/Perrone Entertainment  MMCB Film Produktion 2004,"You, Me and Dupree",  Kate Hudson  Owen Wilson  Matt Dillon  Michael Douglas  Seth Rogen,868
  Action  Adventure  Fantasy  Science Fiction,8536,  saving the world  dc comics  sequel  superhero  based on comic book  loss of virginity  criminal  super powers  phantom zone  rocket fired grenade  crystal machine  superhuman strength  duringcreditsstinger,en, Warner Bros.  Dovemead Films  Film Export A.G.,Superman II,  Gene Hackman  Christopher Reeve  Ned Beatty  Jackie Cooper  Sarah Douglas,869
  Drama,8046,  new york  mentally disabled  kidnapping  blackmail  mission of murder  lovers  lesbian  mobster,en, City Light Films  Revolution Studios  Casey Silver Productions,Gigli,  Ben Affleck  Jennifer Lopez  Justin Bartha  Lainie Kazan  Lenny Venito,870
  Drama  Thriller,1717,  corruption  journalist  based on novel  blackmail  manipulation  bodyguard  louisiana  scandal  power  governor  politics  tragedy  mistress  aristocrat,en, Columbia Pictures Corporation  Rising Star  Relativity Media  Phoenix Pictures  VIP 4 Medienfonds,All the King's Men,  Sean Penn  Jude Law  Kate Winslet  James Gandolfini  Patricia Clarkson,871
  Action  Adventure  Crime  Thriller,479,  corruption  black people  italo-american  brother sister relationship  drug dealer  revenge  murder  violence  drug  police officer  xenophobia,en, Paramount Pictures  Scott Rudin Productions,Shaft,  Samuel L. Jackson  Jeffrey Wright  id: 3894  id: 6485  id: 6486,872
  Animation  Family,9444,  tzar  musical  russian revolution  train explosion  foreign language adaptation  exploding train,en, Twentieth Century Fox Film Corporation  Fox Animation Studios  Fox Family Films  The Big Gun Project  Little Wolf Entertainment,Anastasia,  Meg Ryan  John Cusack  Christopher Lloyd  Angela Lansbury  Hank Azaria,873
  Drama  Music  Romance,824,  duke  musical  writer's block  music  terminal illness  writer  no opening credits  moulin rouge  bohemian  toulouse lautrec  red curtain  cancan dance  la traviata  orpheus and eurydice  dance hall,en, Bazmark Films  Twentieth Century Fox Film Corporation,Moulin Rouge!,  Nicole Kidman  Ewan McGregor  John Leguizamo  Jim Broadbent  Richard Roxburgh,874
  Mystery  Thriller  Crime,11456,  menace  adoption  dangerous  adoptive father  threat to death  step father  murder  divorce  ex-wife  child  murder hunt,en, Paramount Pictures,Domestic Disturbance,  John Travolta  Vince Vaughn  Teri Polo  Matt O'Leary  Steve Buscemi,875
  Crime  Drama,261023,  boston  based on true story  organized crime,en, Infinitum Nihil  Head Gear Films  Cross Creek Pictures  Free State Pictures  RatPac-Dune Entertainment  Le Grisbi Productions  Vendian Entertainment,Black Mass,  Johnny Depp  Joel Edgerton  Benedict Cumberbatch  Dakota Johnson  Kevin Bacon,876
  War  Drama  History,3683,  world war ii  dying and death  pacific  iwo jima  aftercreditsstinger  duringcreditsstinger,en, DreamWorks SKG  Amblin Entertainment  Malpaso Productions  Warner Bros.,Flags of Our Fathers,  Ryan Phillippe  Adam Beach  Jesse Bradford  John Benjamin Hickey  John Slattery,877
  Drama  Crime  Thriller,22803,  tattoo  secret passage  baseball bat  deal  explosion  justice  district attorney  courtroom  vigilantism,en, Film Department  id: 5257}  id: 5802}  id: 12180}],Law Abiding Citizen,  Jamie Foxx  Gerard Butler  Colm Meaney  Bruce McGill  Leslie Bibb,878
  Thriller  Action  Horror,285923,  exploitation  slasher  zombie  killer,en, Big Talk Productions  Yer Dead Productions  Weinstein Company  id: 7289}  id: 7405}  id: 10807}  id: 15762}  id: 15763}  id: 15764}],Grindhouse,  Kurt Russell  Zo\u00eb Bell  Rosario Dawson  Vanessa Ferlito  Sydney Tamiia Poitier,879
  Drama  Thriller,39437,,en, Harpo Films  Touchstone Pictures,Beloved,  Oprah Winfrey  Danny Glover  Thandie Newton  Lisa Gay Hamilton  Albert Hall,880
  Drama  Romance,1950,  poker  sport  las vegas,en, Village Roadshow Pictures  Lonely Film Productions GmbH & Co. KG.  Deuce Three Productions  DiNovi Pictures  Warner Bros.,Lucky You,  Eric Bana  Drew Barrymore  Robert Duvall  Debra Messing  Robert Downey Jr.,881
  Drama  Crime,640,  con man  biography  fbi agent  overhead camera shot  attempted jailbreak  engagement party  mislaid trust  bank fraud  inspired by a true story,en, Kemp Company  Splendid Pictures  Parkes/MacDonald Productions,Catch Me If You Can,  Leonardo DiCaprio  Tom Hanks  Christopher Walken  Martin Sheen  Nathalie Baye,882
  Thriller  Drama  History,97630,  assassination  cia  hotel  terrorist  prisoner  car dealer  mossad  van  iraq  pakistan  osama bin laden  man hunt  navy seal  f word  female protagonist  gunfight  raid  violence  text message  monkey  dog  special forces  tied up  military  area 51  terrorist group  torturing  woman director  al qaeda  prison camp  water torture  suicide bombing  21st century  ex special forces  post 9/11  helicopter crash  islamabad,en, Columbia Pictures  Annapurna Pictures  First Light Production,Zero Dark Thirty,  Jessica Chastain  Jason Clarke  Mark Strong  Joel Edgerton  Chris Pratt,883
  Romance  Comedy,9767,  bowling  chicago  american football  flat  baseball  new love  tour guide  break-up  art gallery  argument  pool table  watching tv  ex-boyfriend ex-girlfriend relationship  dinner party  condominium,en, Universal Pictures  Mosaic Media Group  Wild West Picture Show Productions,The Break-Up,  Vince Vaughn  Jennifer Aniston  Joey Lauren Adams  Cole Hauser  Jon Favreau,884
  Comedy  Romance,11631,  single parent  greece  musical  daughter  single  mother daughter relationship  duringcreditsstinger  woman director,en, Universal Pictures  Internationale Filmproduktion Richter  Playtone  Relativity Media  Littlestar,Mamma Mia!,  Meryl Streep  Pierce Brosnan  Amanda Seyfried  Colin Firth  Stellan Skarsg\u00e5rd,885
  Comedy  Romance,32856,  flower  married couple  florist  kiss  single  valentine  valentine's day  multiple storylines  aftercreditsstinger  duringcreditsstinger,en, New Line Cinema  Karz Entertainment  Rice Films,Valentine's Day,  Jessica Alba  Jessica Biel  Bradley Cooper  Eric Dane  Patrick Dempsey,886
  Action  Adventure  Comedy,6519,  sheriff  farm  bikini  redneck  moonshine,en, Village Roadshow Pictures  Gerber Pictures  Warner Bros.  WV Films III,The Dukes of Hazzard,  Johnny Knoxville  Seann William Scott  Jessica Simpson  Willie Nelson  Burt Reynolds,887
  Drama  History  War,8741,  based on novel  japanese  world war ii  battle assignment  invasion  marine corps  u.s. army  commander  pacific  rifle  survival  jungle  infantry  steel helmet  sergeant  pacific island  soldier  battle  fighting  guadalcanal  awol  philosophic conflict,en, Fox 2000 Pictures  Phoenix Pictures  Geisler-Roberdeau,The Thin Red Line,  Sean Penn  Adrien Brody  Jim Caviezel  Ben Chaplin  George Clooney,888
  Comedy,49520,  jealousy  chance  wish  change  man change  co-worker  body-swap,en, Universal Pictures  Original Film  Relativity Media  Big Kid Pictures,The Change-Up,  Olivia Wilde  Ryan Reynolds  Jason Bateman  Leslie Mann  Mircea Monroe,889
  Comedy  Drama  Romance,1850,  show business  comedian  wrestling,en, Mutual Film Company,Man on the Moon,  Jim Carrey  Courtney Love  Bob Zmuda  Danny DeVito  Gerry Becker,890
  Drama  Crime,524,  poker  drug abuse  1970s  overdose  illegal prostitution,en, Universal Pictures  L\u00e9gende Entreprises  Syalis DA  De Fina-Cappa,Casino,  Robert De Niro  Sharon Stone  Joe Pesci  James Woods  Don Rickles,891
  Action  Crime  Thriller,26389,  paris  cia  undercover  explosive  pimp  ambassador  anti hero  revelation  french  politician  firearm  deception  car crash  gang,en, Apipoula\u00ef  M6 Films  Canal+  TPS Star  Grive Productions  EuropaCorp  M6  W9,From Paris with Love,  John Travolta  Jonathan Rhys Meyers  Kasia Smutniak  Richard Durden  Bing Yin,892
  Action  Comedy  Fantasy,11817,  monk  homeless person  injection  fall  knife fight  scroll  the force,en, Metro-Goldwyn-Mayer (MGM),Bulletproof Monk,  Seann William Scott  Jaime King  Karel Roden  Chow Yun-fat  K. C. Collins,893
  Comedy,2123,  schizophrenia  ex-cop  aftercreditsstinger  duringcreditsstinger,en, Twentieth Century Fox Film Corporation  Conundrum Entertainment,"Me, Myself & Irene",  Jim Carrey  Ren\u00e9e Zellweger  Anthony Anderson  Robert Forster  Richard Jenkins,894
  Animation  Comedy  Family,9907,  peasant  farm  cow  cojote  family,en, Paramount Pictures  Nickelodeon Movies  Paramount Animation,Barnyard,  Courteney Cox  Kevin James  Sam Elliott  Danny Glover  Wanda Sykes,895
  Comedy  Family,9969,  holiday  massachusetts  neighbor  christmas,en, Regency Enterprises  New Regency Pictures  Corduroy Films  All Lit Up Productions,Deck the Halls,  Danny DeVito  Matthew Broderick  Kristin Davis  Kristin Chenoweth  Fred Armisen,896
  Adventure  Fantasy  Drama  Romance,18239,  moon  cinema  vampire  werewolf  fang vamp,en, Summit Entertainment  Maverick Films  Imprint Entertainment  Sunswept Entertainment  Temple Hill Entertainment,The Twilight Saga: New Moon,  Kristen Stewart  Robert Pattinson  Taylor Lautner  Billy Burke  Ashley Greene,897
  Adventure  Animation  Comedy  Family  Fantasy,808,  magic  liberation  lordship  castle  robin hood  enchantment  fairy-tale figure  princess  parody  woman director  ogre,en, DreamWorks SKG  Pacific Data Images (PDI)  DreamWorks Animation,Shrek,  Mike Myers  Eddie Murphy  Cameron Diaz  John Lithgow  Vincent Cassel,898
  Science Fiction  Thriller  Romance,38050,  hotel  dancer  hat  senator  future  honesty  plan  kiss  speech  marriage  politician  alone  fate  foot chase  covert agency  courthouse  political campaign  based on short story,en, Universal Pictures  Media Rights Capital  Gambit Pictures  Electric Shepherd Productions,The Adjustment Bureau,  Matt Damon  Emily Blunt  John Slattery  Anthony Mackie  id: 156675,899
  Adventure,8367,  england  crusade  mercifulness  robin hood  folk hero,en, Warner Bros.  Morgan Creek Productions,Robin Hood: Prince of Thieves,  Kevin Costner  Morgan Freeman  Christian Slater  Mary Elizabeth Mastrantonio  Alan Rickman,900
  Comedy  Drama  Romance,9390,  stadium  career  sport  sports agent,en, Gracie Films  TriStar Pictures,Jerry Maguire,  Tom Cruise  Cuba Gooding Jr.  Ren\u00e9e Zellweger  Kelly Preston  Alison Armitage,901
  Comedy  Fantasy,72105,  friendship  love  teddy bear  toy comes to life  wishes come true,en, Universal Pictures  Media Rights Capital  Fuzzy Door Productions,Ted,  Mark Wahlberg  Mila Kunis  Seth MacFarlane  Joel McHale  Giovanni Ribisi,902
  Comedy  Romance,2898,  single parent  waitress  lone wolf  friendship  neighbor  author  cowardliness  writer  dog  rude  obnoxious  unlikely friendship  noodle salad,en, Gracie Films  TriStar Pictures,As Good as It Gets,  Jack Nicholson  Helen Hunt  Greg Kinnear  Cuba Gooding Jr.  Skeet Ulrich,903
  Comedy  Drama,10312,  nurse  hospital  doctor  laughter,en, Universal Pictures  Bungalow 78 Productions  Blue Wolf  Farrell/Minoff,Patch Adams,  Robin Williams  Philip Seymour Hoffman  Bob Gunton  Peter Coyote  Michael Jeter,904
  Comedy,109443,  journalism  mustache  tv news  newsroom  gang warfare  aftercreditsstinger  news spoof  tv news anchor,en, Paramount Pictures  Gary Sanchez Productions  Apatow Productions,Anchorman 2: The Legend Continues,  Will Ferrell  Steve Carell  Paul Rudd  Christina Applegate  David Koechner,905
  Comedy  Romance,2022,  love letter  new hampshire  ferrari  liar  city country contrast  inheritance  billionaire  new york city  kindness  fable  apple tree  corporate take over  chrysler building,en, New Line Cinema  Columbia Pictures Corporation  Out of the Blue... Entertainment  Happy Madison Productions,Mr. Deeds,  Adam Sandler  Winona Ryder  John Turturro  Allen Covert  Peter Gallagher,906
  Thriller  Science Fiction  Mystery,37686,  1970s  secret  alien  train crash  pistol  firecracker  duringcreditsstinger,en, Paramount Pictures  Amblin Entertainment  Bad Robot  K/O Camera Toys,Super 8,  Joel Courtney  Elle Fanning  Riley Griffiths  Kyle Chandler  Ryan Lee,907
  Drama,462,  biography  based on true story  single mother  water pollution  environmental law,en, Jersey Films,Erin Brockovich,  Julia Roberts  Albert Finney  Aaron Eckhart  Marg Helgenberger  Cherry Jones,908
  Comedy  Romance,9919,  new york  bet  journalist  therapist  advertising expert  relationship,en, Paramount Pictures,How to Lose a Guy in 10 Days,  Kate Hudson  Matthew McConaughey  Kathryn Hahn  Annie Parisse  Adam Goldberg,909
  Crime  Comedy  Action,187017,  high school  undercover cop  buddy comedy  aftercreditsstinger  duringcreditsstinger,en, Columbia Pictures  Original Film  Media Rights Capital  Metro-Goldwyn-Mayer (MGM)  Cannell Studios  LStar Capital  33andOut Productions  JHF Productions,22 Jump Street,  Jonah Hill  Channing Tatum  Dave Franco  Ice Cube  Nick Offerman,910
  Horror  Romance,628,  paris  san francisco  vampire  plantation  pity  bite  fang vamp,en, Geffen Pictures,Interview with the Vampire,  Brad Pitt  Tom Cruise  Kirsten Dunst  Antonio Banderas  Christian Slater,911
  Comedy,10201,  bungee-jump  scooter,en, Village Roadshow Pictures  The Zanuck Company  Heyday films  Warner Bros.,Yes Man,  Jim Carrey  Zooey Deschanel  Rhys Darby  Sasha Alexander  Fionnula Flanagan,912
  Action  Comedy,302699,  spy  cia  espionage  high school reunion  reference to facebook  accountant,en, New Line Cinema  Universal Pictures  Bluegrass Films  Principato-Young Entertainment,Central Intelligence,  Dwayne Johnson  Kevin Hart  Amy Ryan  Aaron Paul  Danielle Nicolet,913
  Drama  Romance,9441,  divorce  rebellious daughter  freeze frame  custody  school play  photo shoot,en, Columbia Pictures  1492 Pictures,Stepmom,  Julia Roberts  Susan Sarandon  Ed Harris  Jena Malone  Liam Aiken,914
  Comedy,274167,  daddys home,en, Paramount Pictures  Gary Sanchez Productions  Red Granite Pictures,Daddy's Home,  Will Ferrell  Mark Wahlberg  Linda Cardellini  Thomas Haden Church  Scarlett Estevez,915
  Fantasy  Comedy  Music,224141,  witch  cinderella  prince  fairy tale  musical  princess  sondheim  curse  based on stage musical  beanstalk  duringcreditsstinger  red riding hood,en, Walt Disney Pictures  Marc Platt Productions  Lucamar Productions,Into the Woods,  Meryl Streep  Emily Blunt  James Corden  Anna Kendrick  Chris Pine,916
  Crime  Drama  Thriller,388,  bank manager  kidnapping  nazi background  document  ultimatum  court case  heist  financial transactions,en, Imagine Entertainment  Universal Pictures  40 Acres & A Mule Filmworks,Inside Man,  Denzel Washington  Clive Owen  Jodie Foster  Christopher Plummer  Willem Dafoe,917
  Drama  Action  Thriller  Crime,2112,  new york  heroin  money  criminal,en, Paramount Pictures  Icon Entertainment International,Payback,  Mel Gibson  Kris Kristofferson  Gregg Henry  Maria Bello  David Paymer,918
  Action  Adventure  Drama  Mystery  Science Fiction  Thriller,10329,  gorilla  kongo  diamond mine  diamond,en, Paramount Pictures  Kennedy/Marshall Company  id: 7383}],Congo,  Laura Linney  Dylan Walsh  Ernie Hudson  Tim Curry  Grant Heslov,919
  Drama  Comedy  Family,74465,  zoo,en, Twentieth Century Fox Film Corporation  Dune Entertainment  Vinyl Films  LBI Entertainment,We Bought a Zoo,  Matt Damon  Scarlett Johansson  Thomas Haden Church  Colin Ford  Maggie Elizabeth Jones,920
  Action  Adventure  Drama  Mystery  Science Fiction  Thriller,13811,  cataclysm  code  suspense  end of the world  time capsule  astrophysicist  grieving widower  lexington massachusetts  westford massachusetts  prediction  researcher  numbers  news,en, Summit Entertainment  Mystery Clock Cinema  Escape Artists  Goldcrest Pictures  Kaplan/Perrone Entertainment  Wintergreen Productions,Knowing,  Nicolas Cage  Rose Byrne  Chandler Canterbury  Ben Mendelsohn  Nadia Townsend,921
  Comedy,6877,  hotel mom  romantic comedy  lying  living with parents  pretend relationship,en, Paramount Pictures  Scott Rudin Productions  Failure to Launch Productions,Failure to Launch,  Matthew McConaughey  Sarah Jessica Parker  Zooey Deschanel  Justin Bartha  Bradley Cooper,922
  Drama  Horror  Thriller,10320,  nun  based on novel  bath tub  nightmare  son  sequel  remake  vision  good vs evil  woman reporter  mental institution  videotape  evil child,en, DreamWorks  BenderSpink  Parkes+MacDonald Image Nation,The Ring Two,  Naomi Watts  Simon Baker  Elizabeth Perkins  David Dorfman  Gary Cole,923
  Comedy  Drama  Romance,50646,  soulmates  midlife crisis  marriage crisis  womanizer  law school  crazy  relationship,en, Warner Bros.,"Crazy, Stupid, Love.",  Steve Carell  Julianne Moore  Ryan Gosling  Emma Stone  Marisa Tomei,924
  Animation  Comedy  Family,8920,  competition  moderator  lasagne  garfield,en, Twentieth Century Fox Film Corporation  Davis Entertainment  Twentieth Century Fox Animation,Garfield,  Bill Murray  Breckin Meyer  Jennifer Love Hewitt  Stephen Tobolowsky  Evan Arnold,925
  Comedy  Family,13673,  holiday  christmas,en, Columbia Pictures  1492 Pictures  Revolution Studios,Christmas with the Kranks,  Tim Allen  Jamie Lee Curtis  Dan Aykroyd  M. Emmet Walsh  Elizabeth Franz,926
  Drama,60308,  underdog  based on novel  baseball  teamwork  sport  partner  meeting  oakland california  strategy  voice over  statistics,en, Columbia Pictures  Scott Rudin Productions,Moneyball,  Brad Pitt  Jonah Hill  Philip Seymour Hoffman  Robin Wright  Chris Pratt,927
  Action  Drama  Science Fiction  Thriller,6950,  river  general  research  army  serum  monkey  epidemic  medical research,en, Kopelson Entertainment  Punch Productions  Warner Bros.  Arnold Kopelson Productions,Outbreak,  Dustin Hoffman  Rene Russo  Morgan Freeman  Kevin Spacey  Cuba Gooding Jr.,928
  Action  Thriller  Mystery,225574,  airplane  conspiracy  airplane crash  cell phone  hijack  one night  mystery killer,en, StudioCanal  Silver Pictures  TF1 Films Production  Canal+  Anton Capital Entertainment (ACE)  TF1  LOVEFiLM International,Non-Stop,  Liam Neeson  Julianne Moore  Scoot McNairy  Michelle Dockery  Nate Parker,929
  Adventure  Family  Fantasy  Science Fiction  Thriller  Action,13836,  spacecraft  laser  teleportation  telekinesis  alien  military  duringcreditsstinger  supernatural power  mountain,en, Walt Disney Pictures  Gunn Films,Race to Witch Mountain,  Dwayne Johnson  AnnaSophia Robb  Alexander Ludwig  Carla Gugino  Chris Marquette,930
  Action  Thriller  Fantasy,752,  detective  vatican  fascism  satanism  fascist  dystopia  government  chancellor  revenge  personification of satan  torture  hatred  masked vigilante  catholicism  catholic priest  catholic guilt  jesuit  vengeful spirit  activist  irish catholic  vengeful  jesuit priest  gnosticism  occultism,en, Studio Babelsberg  DC Comics  Virtual Studios  Anarchos Productions  Silver Pictures  Warner Bros.  Medienboard Berlin-Brandenburg  F\u00fcnfte Babelsberg Film,V for Vendetta,  Natalie Portman  Hugo Weaving  Stephen Rea  Stephen Fry  John Hurt,931
  Action  Adventure  Comedy  Western,6038,  london england  indian territory  emperor  revenge  murder  arrow  duringcreditsstinger  imperial seal,en, Spyglass Entertainment  Touchstone Pictures  Birnbaum / Barber Productions  Jackie Chan Films Limited  All Knight Productions,Shanghai Knights,  Jackie Chan  Owen Wilson  Fann Wong  Aaron Taylor-Johnson  Aidan Gillen,932
  Adventure  Animation  Comedy  Family,9975,  museum  product placement  balloon  jungle  monkey  family  prediction  cargo ship  curiosity,en, Imagine Entertainment  Universal Pictures  Universal Animation Studios,Curious George,  Will Ferrell  Drew Barrymore  David Cross  Eugene Levy  Dick Van Dyke,933
  Comedy  Family  Adventure  Fantasy  Romance,11451,  car race  victory  car  nascar  woman director,en, Walt Disney Pictures  Robert Simonds Productions,Herbie Fully Loaded,  Lindsay Lohan  Michael Keaton  Matt Dillon  Breckin Meyer  Justin Long,934
  Thriller,12103,  cemetery  diamant  suspense  psychiatrist  killer,en, Village Roadshow Pictures  NPV Entertainment  Regency Enterprises  Kopelson Entertainment  Epsilon Motion Pictures  New Regency Pictures  Furthur Films,Don't Say a Word,  Michael Douglas  Sean Bean  Brittany Murphy  Skye McCole Bartusiak  Guy Torry,935
  Fantasy  Horror  Action,60304,  witch  black magic  steampunk  good vs evil  troll  extreme violence  violence  witchcraft  evil  witch hunt  witch hunter  evil witch  duringcreditsstinger  hansel and gretel  guns  3d,en, Paramount Pictures  Studio Babelsberg  MTV Films  Gary Sanchez Productions  Metro-Goldwyn-Mayer (MGM)  Deutsche Filmf\u00f6rderfonds (DFFF),Hansel & Gretel: Witch Hunters,  Jeremy Renner  Gemma Arterton  Famke Janssen  Pihla Viitala  Derek Mears,936
  Thriller  Drama,2251,  adultery  infidelity  eroticism  literature  lover  new york city  erotic thriller,en, Regency Enterprises  Fox 2000 Pictures  Epsilon Motion Pictures  Unfaithful Filmproduktion GmbH & Co. KG,Unfaithful,  Richard Gere  Diane Lane  Olivier Martinez  Erik Per Sullivan  Zeljko Ivanek,937
  Action  Thriller  Science Fiction  Adventure,46529,  secret identity  alien  teenage boy  teenage hero  alien teenager  interspecies romance  based on young adult novel  superpowers,en, DreamWorks SKG  Reliance BIG Entertainment  Bay Films  Touchstone Pictures,I Am Number Four,  Alex Pettyfer  Timothy Olyphant  Teresa Palmer  Dianna Agron  Callan McAuliffe,938
  Drama  Thriller,231,  anti terror  bomb  assassination  middle east  lebanon  cia  capitalism  globalization  loss of son  persia  war against terror  energy policy  petrol,en, Section Eight  Warner Bros.  Participant Media  FilmWorks  4M  MID Foundation,Syriana,  George Clooney  Matt Damon  Jeffrey Wright  Chris Cooper  Amanda Peet,939
  Action  Drama  History  Thriller  War,300671,  based on novel  assault rifle  mercenary  libya  biography  based on true story  heroism  explosion  american abroad  death  21st century  cia agent  u.s. ambassador,en, Paramount Pictures  3 Arts Entertainment  Bay Films  Latina Pictures  Dune Films,13 Hours: The Secret Soldiers of Benghazi,  James Badge Dale  John Krasinski  Max Martini  Pablo Schreiber  Toby Stephens,940
  Romance  Animation  Adventure  Comedy  Family  Fantasy,228326,  love triangle  afterlife  day of the dead  bullfighting,en, Twentieth Century Fox Film Corporation  Reel FX Creative Studios  Twentieth Century Fox Animation  Chatrone,The Book of Life,  Diego Luna  Channing Tatum  Zoe Saldana  Christina Applegate  Eugenio Derbez,941
